,agg_dob_first,agg_dob_second,agg_height_first,agg_height_second,agg_reach_first,agg_reach_second,agg_stand_first,agg_stand_second,agg_str_acc_first,agg_str_acc_second,agg_weight_first,date_card,first_fighter_res,first_sig_str_,first_sig_str_percentage,first_total_str,method,second_sig_str_percentage,second_total_str,time,type
2249,31-Aug-82,15-May-79,"6' 0""","6' 3""","74""","80""",Southpaw,Orthodox,57%,45%,247 lbs.,18-Jul-15,W,15 of 20,75%,15 of 20, KO/TKO ,8%,1 of 12,0:48,
2250,24-May-79,6-Dec-85,"6' 3""","6' 3""","79""","78""",Southpaw,Orthodox,47%,37%,264 lbs.,15-Jul-15,W,16 of 37,43%,16 of 37, KO/TKO ,37%,9 of 24,1:13,perf
2251,12-Nov-84,15-Feb-85,"5' 11""","6' 1""","74""","78""",Orthodox,Southpaw,48%,42%,170 lbs.,12-Jul-15,W,12 of 23,52%,14 of 25, KO/TKO ,38%,9 of 20,4:22,perf
2252,21-Sep-78,12-Feb-84,"5' 10""","5' 11""","71""","76""",Orthodox,Orthodox,47%,45%,155 lbs.,15-Jul-15,L,33 of 100,33%,35 of 102, Decision - Unanimous ,55%,101 of 167,5:00,perf
2253,17-Oct-81,20-Jun-77,"5' 8""","5' 6""","69""","68""",Southpaw,Orthodox,38%,41%,135 lbs.,15-Jul-15,W,65 of 178,36%,70 of 184, Decision - Unanimous ,34%,32 of 82,5:00,
2254,17-Sep-82,8-May-81,"5' 5""","5' 5""","66""","67""",Orthodox,Orthodox,40%,41%,135 lbs.,15-Jul-15,L,36 of 74,48%,56 of 94, Decision - Unanimous ,44%,65 of 128,5:00,
2255,4-Sep-92,10-Apr-88,"5' 9""","5' 10""","77""","71""",Orthodox,Switch,42%,48%,170 lbs.,15-Jul-15,W,9 of 28,32%,9 of 28, Submission ,33%,6 of 18,2:56,
2256,25-Nov-81,17-Dec-89,"6' 0""","6' 4""","73""","76""",Southpaw,Orthodox,50%,34%,170 lbs.,15-Jul-15,W,51 of 104,49%,63 of 116, Decision - Unanimous ,24%,34 of 122,5:00,fight
2257,1-Feb-86,4-Feb-81,"5' 8""","5' 9""","67""","71""",Orthodox,Orthodox,33%,41%,145 lbs.,15-Jul-15,W,12 of 41,29%,33 of 66, Decision - Unanimous ,48%,39 of 60,5:00,
2258,25-Sep-91,30-Apr-88,"5' 1""","5' 7""","62""","67""",Orthodox,Orthodox,50%,34%,115 lbs.,15-Jul-15,W,50 of 90,55%,158 of 206, Decision - Unanimous ,32%,23 of 61,5:00,
