,agg_dob_first,agg_dob_second,agg_height_first,agg_height_second,agg_reach_first,agg_reach_second,agg_stand_first,agg_stand_second,agg_str_acc_first,agg_str_acc_second,agg_weight_first,date_card,first_fighter_res,first_sig_str_,first_sig_str_percentage,first_total_str,method,second_sig_str_percentage,second_total_str,time,type
0,19-Jul-87,26-Dec-89,"6' 4""","6' 4""","84""","77""",Orthodox,Southpaw,57%,50%,205 lbs.,8-Feb-20,W,104 of 166,62%,107 of 170, Decision - Unanimous ,44%,119 of 263,5:00,belt
1,7-Mar-88,28-Dec-88,"5' 5""","5' 9""","66""","68""",Southpaw,Orthodox,51%,35%,125 lbs.,8-Feb-20,W,40 of 65,61%,57 of 82, KO/TKO ,30%,27 of 68,1:03,belt
2,16-Jan-92,13-Dec-93,"6' 5""","6' 0""","80""","74""",Orthodox,Southpaw,55%,55%,265 lbs.,8-Feb-20,L,7 of 11,63%,7 of 11, KO/TKO ,66%,10 of 15,1:59,
3,16-Feb-91,6-Aug-91,"5' 8""","5' 7""","70""","71""",Orthodox,Orthodox,41%,46%,145 lbs.,8-Feb-20,L,17 of 60,28%,29 of 74, Decision - Split ,48%,64 of 117,5:00,
4,7-Feb-85,28-Jul-83,"6' 3""","5' 10""","79""","73""",Orthodox,Orthodox,50%,39%,260 lbs.,8-Feb-20,W,20 of 50,40%,27 of 58, Decision - Unanimous ,41%,62 of 77,5:00,
5,6-Aug-92,4-Jun-86,"6' 0""","6' 2""","74""","73""",Orthodox,Orthodox,56%,49%,185 lbs.,8-Feb-20,W,71 of 148,47%,88 of 167, Decision - Split ,55%,59 of 98,5:00,fight
6,27-Jul-83,11-Feb-89,"5' 5""","5' 6""","67""","69""",Orthodox,Orthodox,40%,50%,125 lbs.,8-Feb-20,W,80 of 197,40%,107 of 228, Decision - Split ,38%,107 of 271,5:00,
7,16-Aug-90,30-Mar-94,"5' 11""","6' 0""","72""","77""",Orthodox,Orthodox,42%,45%,170 lbs.,8-Feb-20,L,1 of 4,25%,1 of 4, KO/TKO ,58%,10 of 17,0:27,perf
8,30-Mar-94,1-Jul-93,"5' 7""","5' 9""","66""","69""",Orthodox,Switch,48%,45%,135 lbs.,8-Feb-20,L,13 of 44,29%,13 of 44, KO/TKO ,26%,18 of 67,1:41,perf
9,5-Jan-90,7-Mar-89,"6' 0""","5' 5""","73""","67""",Southpaw,Orthodox,50%,32%,135 lbs.,8-Feb-20,L,1 of 4,25%,1 of 4, KO/TKO ,60%,7 of 13,0:38,
10,,,,,,,,,,,,8-Sep-07,W,38 of 67,56%,46 of 76, KO/TKO ,50%,28 of 42,4:10,
11,21-Jan-88,20-Apr-94,"5' 8""","5' 8""","75""","70""",Southpaw,Southpaw,41%,46%,135 lbs.,8-Feb-20,W,80 of 177,45%,85 of 184, Decision - Split ,46%,74 of 151,5:00,
12,10-Jul-94,4-Sep-96,"5' 10""","5' 10""","70""","72""",Orthodox,Switch,44%,50%,145 lbs.,8-Feb-20,L,12 of 61,19%,16 of 68, Decision - Unanimous ,56%,49 of 80,5:00,
13,14-Jul-88,29-Mar-83,"5' 9""","6' 1""","74""","73""",Southpaw,Orthodox,49%,46%,155 lbs.,18-Jan-20,W,19 of 26,73%,20 of 27, KO/TKO ,0%,0 of 1,0:40,perf
14,18-Feb-91,30-Jan-84,"6' 4""","6' 4""","80""","77""",Orthodox,Orthodox,53%,47%,265 lbs.,25-Jan-20,W,28 of 60,46%,29 of 62, KO/TKO ,23%,7 of 30,1:06,
15,26-Oct-84,7-Dec-87,"5' 8""","6' 1""","70""","75""",Southpaw,Southpaw,46%,40%,155 lbs.,25-Jan-20,L,14 of 36,38%,23 of 52, Decision - Unanimous ,17%,54 of 107,5:00,
16,8-Nov-89,21-Mar-92,"5' 6""","5' 6""","69""","65""",Orthodox,Orthodox,52%,47%,125 lbs.,25-Jan-20,L,2 of 13,15%,2 of 13, Submission ,22%,16 of 23,2:33,perf
17,26-Jun-92,12-Jan-85,"5' 1""","5' 3""","62""","64""",Orthodox,Orthodox,44%,50%,115 lbs.,25-Jan-20,L,46 of 108,42%,50 of 114, KO/TKO ,45%,80 of 170,4:26,
18,19-May-91,9-Feb-92,"6' 4""","6' 0""","79""","76""",Southpaw,Orthodox,52%,45%,205 lbs.,25-Jan-20,W,101 of 233,43%,102 of 236, Decision - Unanimous ,43%,32 of 81,5:00,
19,5-May-91,11-May-86,"6' 3""","6' 3""","79""","79""",Orthodox,Orthodox,43%,34%,185 lbs.,25-Jan-20,W,36 of 82,43%,94 of 146, Decision - Unanimous ,43%,55 of 99,5:00,
20,22-Jan-94,13-Aug-84,"5' 8""","5' 8""","70""","68""",Southpaw,Orthodox,40%,47%,145 lbs.,25-Jan-20,W,63 of 131,48%,68 of 137, Decision - Unanimous ,28%,63 of 190,5:00,
21,13-Apr-88,13-Jun-94,"5' 5""","5' 8""","64""","67""",Orthodox,Orthodox,48%,36%,125 lbs.,25-Jan-20,W,62 of 129,48%,66 of 135, Decision - Unanimous ,20%,47 of 165,5:00,
22,24-Apr-92,31-Mar-94,"5' 10""","5' 8""","75""","69""",Southpaw,Orthodox,55%,51%,135 lbs.,25-Jan-20,W,75 of 103,72%,96 of 130, Decision - Unanimous ,25%,8 of 31,5:00,
23,24-Sep-80,13-Mar-82,"5' 6""","5' 7""","66""","65""",Orthodox,Orthodox,45%,57%,135 lbs.,25-Jan-20,W,38 of 50,76%,62 of 84, Decision - Unanimous ,20%,36 of 51,5:00,
24,21-Feb-92,28-Sep-91,"5' 7""","5' 5""","71""","69""",Orthodox,Orthodox,49%,54%,135 lbs.,25-Jan-20,W,36 of 47,76%,65 of 80, Submission ,59%,43 of 66,2:53,fight
25,2-Feb-88,6-Jun-88,"5' 9""","5' 9""","73""","72""",Orthodox,Orthodox,45%,50%,145 lbs.,25-Jan-20,W,7 of 17,41%,7 of 17, KO/TKO ,44%,6 of 11,2:43,perf
26,17-Oct-81,5-Sep-88,"5' 8""","5' 7""","69""","67""",Southpaw,Orthodox,38%,48%,135 lbs.,18-Jan-20,W,30 of 62,48%,81 of 129, Decision - Unanimous ,48%,55 of 95,5:00,
27,20-Jun-77,5-Jul-86,"6' 2""","6' 7""","80""","80""",Orthodox,Orthodox,50%,45%,240 lbs.,18-Jan-20,W,7 of 22,31%,25 of 46, Submission ,44%,38 of 54,4:38,perf
28,19-Aug-86,9-Jan-92,"5' 6""","5' 7""","66""","73""",Switch,Southpaw,39%,54%,145 lbs.,18-Jan-20,W,7 of 12,58%,28 of 34, Submission ,64%,19 of 25,2:49,perf
29,27-Jan-87,18-Jan-85,"5' 10""","5' 9""","72""","74""",Orthodox,Orthodox,47%,37%,155 lbs.,18-Jan-20,L,22 of 45,48%,28 of 51, Submission ,47%,43 of 74,1:46,perf
30,24-Sep-82,18-May-98,"5' 7""","5' 5""","69""","65""",Orthodox,Switch,30%,52%,125 lbs.,18-Jan-20,W,19 of 43,44%,112 of 155, Decision - Unanimous ,51%,25 of 45,5:00,
31,25-Jun-90,19-May-93,"5' 11""","5' 9""","74""","71""",Orthodox,Orthodox,36%,48%,145 lbs.,18-Jan-20,L,49 of 145,33%,56 of 152, Decision - Unanimous ,47%,90 of 177,5:00,
32,,,,,,,,,,,,1-Apr-09,W,13 of 20,65%,30 of 40, Submission ,0%,0 of 3,2:01,
33,24-Dec-86,9-Oct-92,"5' 7""","5' 6""","66""","67""",Southpaw,Orthodox,45%,55%,125 lbs.,18-Jan-20,L,47 of 111,42%,86 of 157, Decision - Unanimous ,48%,96 of 173,5:00,
34,19-Oct-88,22-Aug-95,"5' 8""","5' 10""","70""","72""",Southpaw,Southpaw,40%,47%,155 lbs.,18-Jan-20,W,13 of 26,50%,13 of 26, KO/TKO ,63%,7 of 11,1:10,perf
35,25-Sep-95,28-Sep-88,"6' 1""","6' 4""","74""","80""",Orthodox,Orthodox,54%,39%,205 lbs.,18-Jan-20,W,80 of 165,48%,88 of 174, Decision - Unanimous ,33%,60 of 148,5:00,
36,17-May-82,,"6' 0""",,"74""",,Orthodox,,35%,,170 lbs.,21-Feb-09,W,5 of 12,41%,5 of 12, KO/TKO ,28%,2 of 7,1:09,
37,25-Mar-97,29-Sep-92,"5' 7""","5' 5""","70""","67""",Orthodox,Southpaw,44%,41%,135 lbs.,18-Jan-20,W,118 of 323,36%,121 of 327, Decision - Split ,40%,69 of 156,5:00,
38,16-Oct-81,17-Mar-87,"5' 6""","5' 7""","68""","72""",Orthodox,Orthodox,39%,41%,135 lbs.,21-Dec-19,L,9 of 14,64%,9 of 14, KO/TKO ,76%,79 of 97,3:18,perf
39,19-Sep-89,6-Feb-92,"6' 2""","6' 4""","75""","78""",Orthodox,Orthodox,45%,52%,205 lbs.,21-Dec-19,W,63 of 144,43%,118 of 199, Decision - Split ,51%,87 of 162,5:00,
40,10-Apr-91,27-Nov-95,"5' 10""","5' 9""","70""","69""",Orthodox,Switch,51%,45%,145 lbs.,21-Dec-19,L,42 of 94,44%,44 of 96, KO/TKO ,49%,75 of 140,4:32,fight
41,7-Dec-93,28-Nov-88,"6' 4""","6' 4""","78""","82""",Orthodox,Southpaw,45%,59%,205 lbs.,21-Dec-19,W,5 of 10,50%,5 of 10, KO/TKO ,50%,4 of 8,1:04,
42,27-Feb-91,18-Feb-90,"5' 10""","6' 1""","73""","74""",Orthodox,Orthodox,47%,48%,185 lbs.,21-Dec-19,W,77 of 187,41%,83 of 193, Decision - Unanimous ,31%,57 of 166,5:00,
43,9-Sep-87,13-Feb-93,"5' 9""","5' 6""","73""","72""",Orthodox,Orthodox,44%,33%,135 lbs.,21-Dec-19,W,20 of 40,50%,108 of 153, Decision - Split ,47%,114 of 149,5:00,
44,12-Apr-90,2-Aug-91,"6' 4""","6' 2""","81""","75""",Orthodox,Orthodox,55%,52%,245 lbs.,21-Dec-19,W,65 of 160,40%,65 of 160, Decision - Unanimous ,30%,32 of 104,5:00,
45,3-Nov-92,13-Jun-92,"6' 0""","5' 8""","74""","72""",Orthodox,Orthodox,41%,43%,145 lbs.,21-Dec-19,W,95 of 187,50%,158 of 254, Decision - Unanimous ,41%,67 of 115,5:00,
46,13-Sep-99,3-Feb-88,"6' 1""","5' 5""","74""","69""",Southpaw,Orthodox,46%,46%,145 lbs.,14-Dec-19,W,20 of 36,55%,37 of 70, KO/TKO ,33%,2 of 6,4:34,
47,9-Sep-88,17-Oct-85,"5' 11""","5' 11""","70""","73""",Orthodox,Orthodox,41%,37%,155 lbs.,21-Dec-19,L,15 of 56,26%,21 of 63, Decision - Unanimous ,35%,60 of 123,5:00,
48,16-Apr-90,15-Jan-90,"5' 5""","5' 8""","67""","70""",Orthodox,Orthodox,47%,38%,125 lbs.,21-Dec-19,W,34 of 62,54%,36 of 64, KO/TKO ,38%,35 of 68,4:17,perf
49,1-May-87,5-Apr-92,"5' 7""","5' 8""","67""","70""",Orthodox,Orthodox,52%,46%,135 lbs.,21-Dec-19,W,42 of 100,42%,52 of 112, Decision - Unanimous ,31%,77 of 200,5:00,
50,13-Apr-92,22-May-87,"5' 7""","5' 4""","68""","65""",Orthodox,Southpaw,48%,64%,125 lbs.,21-Dec-19,L,4 of 8,50%,5 of 9, Submission ,66%,14 of 18,3:43,
51,14-Dec-91,25-Aug-89,"5' 5""","5' 5""","66""","68""",Orthodox,Orthodox,32%,41%,135 lbs.,21-Dec-19,W,47 of 131,35%,72 of 160, Decision - Split ,53%,84 of 145,5:00,
52,11-May-87,22-Feb-88,"6' 0""","5' 11""","76""","72""",Switch,Orthodox,54%,38%,170 lbs.,14-Dec-19,W,175 of 360,48%,175 of 360, KO/TKO ,36%,143 of 395,4:10,belt fight
53,4-Dec-91,29-Sep-88,"5' 11""","5' 6""","69""","71""",Orthodox,Orthodox,46%,55%,145 lbs.,14-Dec-19,L,134 of 303,44%,135 of 304, Decision - Unanimous ,51%,157 of 303,5:00,belt
54,30-May-88,24-Apr-84,"5' 8""","5' 9""","69""","71""",Orthodox,Orthodox,51%,46%,145 lbs.,14-Dec-19,W,79 of 184,42%,199 of 337, Decision - Unanimous ,54%,126 of 175,5:00,belt
55,26-Apr-88,9-Sep-86,"5' 6""","5' 7""","67""","70""",Orthodox,Orthodox,39%,45%,135 lbs.,14-Dec-19,W,59 of 137,43%,59 of 137, Decision - Split ,39%,63 of 152,5:00,
56,11-Feb-93,14-May-79,"5' 7""","5' 6""","67""","67""",Switch,Orthodox,52%,40%,135 lbs.,14-Dec-19,W,54 of 108,50%,62 of 116, KO/TKO ,23%,28 of 86,0:43,perf
57,28-Aug-90,15-Sep-91,"5' 11""","5' 10""","75""","71""",Southpaw,Orthodox,48%,47%,170 lbs.,14-Dec-19,W,15 of 23,65%,15 of 23, KO/TKO ,50%,5 of 10,1:30,
58,26-Aug-91,26-Mar-88,"5' 8""","5' 9""","68""","68""",Orthodox,Orthodox,36%,38%,135 lbs.,14-Dec-19,L,20 of 76,26%,20 of 76, KO/TKO ,36%,26 of 71,4:51,perf
59,5-Aug-88,12-Oct-87,"5' 11""","6' 0""","72""","73""",Orthodox,Orthodox,50%,35%,185 lbs.,14-Dec-19,L,53 of 103,51%,70 of 121, Decision - Unanimous ,33%,69 of 180,5:00,
60,10-Jan-81,13-Apr-83,"6' 0""","6' 2""","75""","77""",Orthodox,Orthodox,54%,50%,170 lbs.,14-Dec-19,W,30 of 47,63%,40 of 59, KO/TKO ,52%,38 of 49,4:55,
61,,11-Oct-83,,"5' 7""",,--,,Orthodox,,53%,,20-Jan-12,L,3 of 4,75%,3 of 4, KO/TKO ,47%,11 of 23,0:22,ko
62,7-Dec-93,26-Mar-93,"5' 7""","5' 4""","70""","69""",Orthodox,Orthodox,39%,39%,125 lbs.,14-Dec-19,W,91 of 276,32%,91 of 276, Decision - Unanimous ,35%,82 of 231,5:00,
63,27-Jul-86,21-Nov-86,"5' 6""","5' 4""","66""","68""",Orthodox,Orthodox,37%,47%,125 lbs.,14-Dec-19,W,98 of 196,50%,100 of 198, Decision - Unanimous ,45%,69 of 135,5:00,
64,22-Nov-92,24-Jan-90,"5' 11""","6' 0""","72""","76""",Southpaw,Southpaw,43%,52%,185 lbs.,14-Dec-19,W,26 of 44,59%,26 of 46, KO/TKO ,47%,11 of 20,3:17,
65,9-Nov-85,9-May-91,"6' 3""","6' 3""","78""","77""",Orthodox,Orthodox,50%,48%,249 lbs.,14-Sep-19,L,6 of 7,85%,6 of 7, KO/TKO ,55%,15 of 27,0:59,
66,17-May-80,17-Mar-88,"6' 4""","6' 2""","80""","78""",Orthodox,Orthodox,64%,49%,265 lbs.,7-Dec-19,L,74 of 105,70%,101 of 135, KO/TKO ,42%,109 of 229,4:56,
67,29-Apr-87,13-Jul-87,"5' 6""","5' 4""","65""","64""",Orthodox,Orthodox,48%,41%,115 lbs.,7-Dec-19,D,56 of 140,40%,61 of 145, Decision - Majority ,60%,112 of 173,5:00,
68,18-Feb-88,17-Oct-81,"6' 11""","6' 4""","84""","78""",Orthodox,Orthodox,47%,42%,265 lbs.,7-Dec-19,L,53 of 77,68%,63 of 87, KO/TKO ,57%,71 of 114,4:57,
69,1-Mar-95,11-Nov-89,"5' 6""","5' 6""","66""","68""",Orthodox,Orthodox,55%,57%,135 lbs.,7-Dec-19,W,47 of 85,55%,85 of 137, KO/TKO ,58%,92 of 129,0:33,
70,9-Nov-89,2-Dec-97,"5' 6""","5' 8""","64""","67""",Orthodox,Orthodox,46%,42%,145 lbs.,7-Dec-19,D,41 of 67,61%,117 of 150, Decision - Majority ,28%,49 of 127,5:00,
71,27-Feb-87,4-Mar-96,"6' 3""","6' 2""","77""","74""",Orthodox,Orthodox,51%,56%,205 lbs.,14-Sep-19,W,6 of 10,60%,22 of 29, Submission ,60%,28 of 45,3:38,perf
72,25-Jun-87,31-Aug-92,"5' 8""","5' 6""","71""","69""",Orthodox,Orthodox,43%,42%,135 lbs.,7-Dec-19,W,90 of 202,44%,100 of 212, Decision - Unanimous ,38%,65 of 161,5:00,fight
73,3-Oct-83,20-Feb-84,"5' 9""","6' 2""","70""","75""",Orthodox,Orthodox,41%,48%,170 lbs.,7-Dec-19,L,13 of 26,50%,13 of 26, Submission ,56%,24 of 42,2:38,
74,8-Dec-88,28-Jun-95,"5' 10""","5' 9""","70""","72""",Orthodox,Orthodox,64%,33%,145 lbs.,7-Dec-19,W,74 of 86,86%,139 of 165, Submission ,50%,6 of 9,3:18,
75,4-Oct-94,21-Feb-94,"5' 10""","5' 7""","70""","68""",Southpaw,Orthodox,61%,42%,145 lbs.,7-Dec-19,W,6 of 7,85%,24 of 28, Submission ,50%,6 of 9,4:20,perf
76,27-Aug-93,19-Sep-83,"5' 9""","5' 10""","70""","68""",Orthodox,Orthodox,66%,50%,155 lbs.,7-Dec-19,W,56 of 70,80%,177 of 217, Decision - Unanimous ,45%,20 of 33,5:00,
77,30-Jun-81,,"6' 1""",,"74""",,Orthodox,,36%,,185 lbs.,7-Feb-09,W,2 of 6,33%,4 of 8, Submission ,50%,5 of 7,1:03,
78,30-May-88,29-Jan-94,"5' 3""","5' 4""","64""","63""",Orthodox,Orthodox,46%,59%,115 lbs.,7-Dec-19,W,7 of 20,35%,20 of 35, Submission ,30%,17 of 39,1:16,
79,15-Nov-95,18-Oct-89,"5' 5""","5' 7""","66""","72""",Southpaw,Orthodox,41%,34%,125 lbs.,5-Oct-19,L,45 of 131,34%,53 of 139, KO/TKO ,44%,83 of 185,4:59,
80,8-Feb-90,5-Jan-81,"6' 2""","6' 3""","75""","75""",Orthodox,Orthodox,42%,55%,185 lbs.,7-Dec-19,W,91 of 183,49%,91 of 183, KO/TKO ,40%,39 of 96,4:09,perf
81,24-Feb-83,7-Dec-79,"6' 2""","6' 1""","78""","72""",Orthodox,Orthodox,49%,47%,205 lbs.,16-Nov-19,W,71 of 170,41%,105 of 205, Decision - Split ,41%,56 of 88,5:00,
82,25-Nov-81,27-Nov-87,"6' 1""","6' 3""","76""","76""",Orthodox,Orthodox,50%,51%,205 lbs.,16-Nov-19,D,25 of 66,37%,51 of 108, Decision - Split ,51%,106 of 160,5:00,
83,17-Oct-89,6-Sep-88,"5' 10""","5' 9""","74""","68""",Orthodox,Orthodox,52%,56%,155 lbs.,16-Nov-19,W,10 of 16,62%,10 of 16, KO/TKO ,38%,7 of 18,1:26,
84,1-Jul-89,17-Feb-90,"6' 3""","6' 1""","73""","78""",Orthodox,Southpaw,70%,58%,185 lbs.,16-Nov-19,L,29 of 47,61%,47 of 67, Decision - Unanimous ,52%,85 of 128,5:00,
85,4-May-91,4-Oct-90,"6' 0""","6' 1""","75""","74""",Southpaw,Southpaw,38%,51%,185 lbs.,9-Nov-19,L,37 of 95,38%,38 of 96, Submission ,36%,43 of 117,4:01,
86,22-Jun-88,22-Jul-96,"6' 1""","6' 0""","73""","72""",Orthodox,Orthodox,47%,42%,185 lbs.,16-Nov-19,L,49 of 96,51%,56 of 103, Decision - Unanimous ,40%,59 of 132,5:00,
87,23-Jul-82,4-Jun-86,"6' 0""","6' 2""","72""","73""",Orthodox,Orthodox,42%,49%,170 lbs.,16-Nov-19,L,41 of 99,41%,42 of 100, KO/TKO ,58%,125 of 200,4:19,
88,1-Aug-95,28-May-89,"5' 9""","5' 9""","72""","70""",Orthodox,Orthodox,41%,51%,145 lbs.,16-Nov-19,W,10 of 34,29%,12 of 36, Submission ,37%,6 of 16,3:57,
89,24-Aug-78,9-Sep-86,"5' 9""","5' 10""","70""","71""",Southpaw,Orthodox,43%,51%,155 lbs.,16-Nov-19,W,31 of 122,25%,36 of 127, Decision - Unanimous ,43%,67 of 135,5:00,
90,4-Jan-91,8-Jul-90,"5' 11""","6' 3""","72""","78""",Orthodox,Orthodox,47%,47%,170 lbs.,16-Nov-19,L,3 of 11,27%,8 of 18, Submission ,53%,24 of 38,1:22,
91,22-Jun-85,31-Jan-87,"5' 7""","5' 6""","68""","70""",Orthodox,Orthodox,38%,36%,145 lbs.,16-Nov-19,W,74 of 163,45%,100 of 190, Decision - Unanimous ,36%,140 of 241,5:00,
92,26-Jan-94,4-Sep-91,"5' 6""","5' 3""","67""","64""",Orthodox,Orthodox,33%,35%,125 lbs.,16-Nov-19,W,31 of 63,49%,175 of 224, Decision - Unanimous ,35%,90 of 128,5:00,
93,27-Mar-88,10-Dec-93,"5' 5""","5' 5""","65""","65""",Orthodox,Orthodox,30%,55%,135 lbs.,16-Nov-19,L,40 of 125,32%,76 of 161, Decision - Unanimous ,56%,155 of 224,5:00,
94,1-Mar-91,26-Mar-88,"6' 1""","5' 11""","73""","72""",Orthodox,Orthodox,48%,42%,145 lbs.,9-Nov-19,W,96 of 250,38%,100 of 255, Decision - Unanimous ,37%,127 of 260,5:00,fight
95,24-Oct-88,28-Jul-88,"6' 7""","6' 5""","80""","80""",Orthodox,Orthodox,59%,50%,250 lbs.,9-Nov-19,W,86 of 152,56%,86 of 152, Decision - Unanimous ,34%,51 of 140,5:00,
96,25-Jan-95,14-Jul-87,"6' 0""","6' 1""","76""","74""",Orthodox,Southpaw,36%,44%,170 lbs.,9-Nov-19,L,28 of 71,39%,38 of 84, KO/TKO ,60%,42 of 68,4:54,
97,13-Nov-89,1-Aug-90,"5' 11""","6' 0""","72""","75""",Orthodox,Orthodox,49%,40%,170 lbs.,9-Nov-19,L,4 of 9,44%,22 of 34, Submission ,18%,25 of 34,2:50,perf
98,21-May-95,2-Oct-80,"6' 3""","6' 1""","78""","77""",Orthodox,Orthodox,49%,49%,205 lbs.,9-Nov-19,L,53 of 102,51%,70 of 124, Decision - Unanimous ,57%,121 of 183,5:00,
99,23-May-87,11-Dec-89,"5' 10""","6' 0""","76""","73""",Southpaw,Orthodox,45%,37%,170 lbs.,9-Nov-19,L,30 of 92,32%,43 of 105, Decision - Unanimous ,29%,48 of 148,5:00,
100,9-Aug-90,24-Dec-92,"6' 2""","6' 0""","76""","74""",Orthodox,Orthodox,46%,40%,205 lbs.,9-Nov-19,W,64 of 138,46%,82 of 158, Decision - Split ,41%,47 of 95,5:00,
101,2-Jun-92,31-Jul-87,"6' 3""","5' 8""","75""","76""",Orthodox,Orthodox,53%,50%,205 lbs.,9-Nov-19,W,44 of 67,65%,91 of 123, KO/TKO ,23%,13 of 33,0:29,perf
102,4-Sep-92,13-Nov-86,"5' 9""","5' 7""","77""","71""",Orthodox,Orthodox,42%,52%,170 lbs.,2-Nov-19,W,21 of 59,35%,21 of 59, KO/TKO ,19%,9 of 46,2:47,perf
103,4-Nov-86,19-May-92,"5' 8""","6' 1""","73""","74""",Orthodox,Orthodox,34%,42%,155 lbs.,9-Nov-19,W,12 of 28,42%,56 of 79, Decision - Unanimous ,49%,188 of 219,5:00,
104,18-May-98,17-May-95,"5' 5""","5' 5""","65""","63""",Switch,Orthodox,52%,49%,125 lbs.,18-Oct-19,W,34 of 68,50%,40 of 74, KO/TKO ,42%,15 of 31,3:04,
105,18-Jul-84,11-Feb-94,"6' 3""","6' 2""","74""","73""",Southpaw,Orthodox,47%,49%,155 lbs.,9-Nov-19,L,20 of 49,40%,38 of 71, Decision - Unanimous ,28%,56 of 128,5:00,
106,28-Nov-87,8-Dec-91,"5' 5""","5' 7""","64""","66""",Orthodox,Orthodox,51%,49%,125 lbs.,9-Nov-19,L,65 of 157,41%,71 of 163, Decision - Unanimous ,41%,103 of 243,5:00,
107,18-Apr-84,18-Dec-85,"5' 7""","5' 8""","68""","69""",Switch,Orthodox,37%,47%,135 lbs.,9-Nov-19,L,35 of 88,39%,57 of 111, Decision - Split ,47%,34 of 70,5:00,
108,12-Nov-84,16-Apr-85,"5' 11""","6' 0""","74""","76""",Orthodox,Southpaw,48%,45%,170 lbs.,2-Nov-19,W,112 of 179,62%,114 of 184, TKO - Doctor's Stoppage ,41%,125 of 194,5:00,
109,24-Oct-91,24-Dec-92,"5' 9""","6' 0""","71""","74""",Southpaw,Southpaw,42%,46%,185 lbs.,2-Nov-19,L,40 of 81,49%,50 of 96, Decision - Split ,53%,37 of 69,5:00,
110,28-Dec-95,5-Nov-92,"6' 2""","6' 3""","75""","81""",Orthodox,Orthodox,58%,54%,185 lbs.,18-Oct-19,W,10 of 22,45%,23 of 41, Submission ,57%,37 of 55,3:38,
111,11-Feb-83,27-Nov-91,"6' 0""","5' 11""","75""","75""",Orthodox,Orthodox,43%,54%,170 lbs.,2-Nov-19,W,138 of 242,57%,138 of 242, Decision - Unanimous ,44%,77 of 175,5:00,fight
112,7-Feb-85,9-Oct-86,"6' 3""","5' 11""","79""","73""",Orthodox,Southpaw,50%,40%,260 lbs.,2-Nov-19,W,31 of 68,45%,32 of 69, Decision - Split ,52%,61 of 83,5:00,
113,22-Sep-89,30-Mar-92,"6' 3""","6' 6""","79""","82""",Orthodox,Orthodox,46%,72%,205 lbs.,2-Nov-19,W,22 of 39,56%,26 of 43, KO/TKO ,33%,1 of 3,2:07,perf
114,19-Mar-91,8-Nov-88,"5' 11""","5' 10""","75""","72""",Orthodox,Southpaw,49%,43%,145 lbs.,2-Nov-19,W,105 of 155,67%,161 of 217, KO/TKO ,45%,23 of 49,4:32,
115,21-Dec-87,20-Nov-97,"6' 1""","6' 2""","74""","74""",Orthodox,Orthodox,41%,49%,185 lbs.,2-Nov-19,L,3 of 23,13%,3 of 23, KO/TKO ,36%,14 of 38,2:27,
116,4-Feb-79,17-Mar-88,"6' 3""","6' 2""","77""","78""",Orthodox,Orthodox,44%,49%,240 lbs.,2-Nov-19,L,4 of 9,44%,4 of 9, KO/TKO ,55%,5 of 9,0:29,
117,28-Dec-88,6-Oct-88,"5' 9""","5' 4""","68""","64""",Orthodox,Orthodox,35%,39%,125 lbs.,2-Nov-19,W,73 of 180,40%,109 of 217, Decision - Unanimous ,25%,74 of 248,5:00,
118,,2-Jun-76,,"6' 2""",,"75""",,Southpaw,,35%,,10-Dec-11,L,9 of 17,52%,13 of 21, KO/TKO ,60%,80 of 119,3:15,
119,26-May-85,31-Dec-86,"6' 0""","6' 2""","74""","75""",Orthodox,Southpaw,48%,20%,170 lbs.,2-Nov-19,W,68 of 134,50%,73 of 142, KO/TKO ,27%,23 of 85,2:03,
120,27-Oct-89,2-Jul-91,"5' 7""","5' 8""","70""","73""",Southpaw,Orthodox,36%,46%,145 lbs.,2-Nov-19,L,32 of 124,25%,64 of 162, Decision - Split ,39%,83 of 170,5:00,
121,6-Nov-77,18-Jul-84,"6' 1""","5' 11""","72""","73""",Southpaw,Orthodox,43%,49%,170 lbs.,26-Oct-19,W,69 of 122,56%,84 of 137, Submission ,49%,102 of 168,3:54,fight
122,4-Jun-86,25-Mar-90,"5' 10""","5' 10""","73""","70""",Southpaw,Southpaw,38%,44%,155 lbs.,26-Oct-19,L,78 of 173,45%,81 of 176, Decision - Majority ,45%,104 of 207,5:00,
123,18-May-89,6-May-89,"5' 10""","5' 10""","73""","72""",Orthodox,Southpaw,46%,49%,170 lbs.,26-Oct-19,L,3 of 9,33%,3 of 9, Submission ,72%,14 of 19,2:02,perf
124,12-Apr-90,16-Jan-92,"6' 4""","6' 6""","81""","81""",Orthodox,Orthodox,55%,45%,245 lbs.,26-Oct-19,W,94 of 168,55%,99 of 173, Submission ,26%,40 of 132,4:46,perf
125,9-Jun-84,27-Feb-93,"5' 11""","6' 1""","70""","71""",Orthodox,Orthodox,48%,33%,170 lbs.,26-Oct-19,W,63 of 132,47%,64 of 133, Decision - Unanimous ,30%,48 of 144,5:00,
126,10-Aug-85,20-Oct-87,"5' 4""","5' 7""","63""","69""",Orthodox,Southpaw,42%,39%,115 lbs.,26-Oct-19,W,78 of 140,55%,94 of 158, Decision - Split ,41%,82 of 148,5:00,
127,22-Oct-88,5-Mar-93,"6' 0""","5' 8""","71""","71""",Southpaw,Switch,42%,57%,155 lbs.,26-Oct-19,L,55 of 133,41%,66 of 146, Decision - Unanimous ,50%,73 of 138,5:00,
